file name,orbit,exposure,filter,date-obs,time-obs,angle,dither
icdg07p3q_flt.fits,7,1,F125W,2013-10-16,15:53:47,101.0005,1
icdg07p4q_flt.fits,7,1,F125W,2013-10-16,15:54:35,101.0005,1
icdg07p5q_flt.fits,7,1,F125W,2013-10-16,15:55:23,101.0005,1
icdg07p6q_flt.fits,7,1,F125W,2013-10-16,15:56:11,101.0005,1
icdg07p7q_flt.fits,7,2,F160W,2013-10-16,15:57:05,101.0005,2
icdg07p8q_flt.fits,7,2,F160W,2013-10-16,15:57:38,101.0005,2
icdg07p9q_flt.fits,7,2,F160W,2013-10-16,15:58:11,101.0005,2
icdg07paq_flt.fits,7,2,F160W,2013-10-16,15:58:44,101.0005,2
icdg07pbq_flt.fits,7,2,F160W,2013-10-16,15:59:17,101.0005,2
icdg07pcq_flt.fits,7,3,F125W,2013-10-16,16:00:32,101.001,3
icdg07pdq_flt.fits,7,3,F125W,2013-10-16,16:01:20,101.001,3
icdg07peq_flt.fits,7,3,F125W,2013-10-16,16:02:08,101.001,3
icdg07pfq_flt.fits,7,3,F125W,2013-10-16,16:02:56,101.001,3
icdg07pgq_flt.fits,7,4,F160W,2013-10-16,16:03:50,101.001,4
icdg07phq_flt.fits,7,4,F160W,2013-10-16,16:04:23,101.001,4
icdg07piq_flt.fits,7,4,F160W,2013-10-16,16:04:56,101.001,4
icdg07pjq_flt.fits,7,4,F160W,2013-10-16,16:05:29,101.001,4
icdg07pkq_flt.fits,7,4,F160W,2013-10-16,16:06:02,101.001,4
icdg07plq_flt.fits,7,5,F125W,2013-10-16,16:07:18,101.0009,5
icdg07pmq_flt.fits,7,5,F125W,2013-10-16,16:08:06,101.0009,5
icdg07pnq_flt.fits,7,5,F125W,2013-10-16,16:08:54,101.0009,5
icdg07poq_flt.fits,7,5,F125W,2013-10-16,16:09:42,101.0009,5
icdg07ppq_flt.fits,7,6,F160W,2013-10-16,16:10:36,101.0009,6
icdg07pqq_flt.fits,7,6,F160W,2013-10-16,16:11:09,101.0009,6
icdg07prq_flt.fits,7,6,F160W,2013-10-16,16:11:42,101.0009,6
icdg07psq_flt.fits,7,6,F160W,2013-10-16,16:12:15,101.0009,6
icdg07ptq_flt.fits,7,6,F160W,2013-10-16,16:12:48,101.0009,6
icdg07puq_flt.fits,7,7,F125W,2013-10-16,16:14:03,101.0014,7
icdg07pvq_flt.fits,7,7,F125W,2013-10-16,16:14:51,101.0014,7
icdg07pwq_flt.fits,7,7,F125W,2013-10-16,16:15:39,101.0014,7
icdg07pxq_flt.fits,7,7,F125W,2013-10-16,16:16:27,101.0014,7
icdg07pyq_flt.fits,7,8,F160W,2013-10-16,16:17:21,101.0014,8
icdg07pzq_flt.fits,7,8,F160W,2013-10-16,16:17:54,101.0014,8
icdg07q0q_flt.fits,7,8,F160W,2013-10-16,16:18:27,101.0014,8
icdg07q1q_flt.fits,7,8,F160W,2013-10-16,16:19:00,101.0014,8
icdg07q2q_flt.fits,7,8,F160W,2013-10-16,16:19:33,101.0014,8
icdg07q3q_flt.fits,7,9,F125W,2013-10-16,16:20:48,101.0009,9
icdg07q4q_flt.fits,7,9,F125W,2013-10-16,16:21:36,101.0009,9
icdg07q5q_flt.fits,7,9,F125W,2013-10-16,16:22:24,101.0009,9
icdg07q6q_flt.fits,7,9,F125W,2013-10-16,16:23:12,101.0009,9
icdg07q7q_flt.fits,7,10,F160W,2013-10-16,16:24:06,101.0009,10
icdg07q8q_flt.fits,7,10,F160W,2013-10-16,16:24:39,101.0009,10
icdg07q9q_flt.fits,7,10,F160W,2013-10-16,16:25:12,101.0009,10
icdg07qaq_flt.fits,7,10,F160W,2013-10-16,16:25:45,101.0009,10
icdg07qbq_flt.fits,7,10,F160W,2013-10-16,16:26:18,101.0009,10
icdg07qcq_flt.fits,7,11,F125W,2013-10-16,16:27:33,101.0014,11
icdg07qdq_flt.fits,7,11,F125W,2013-10-16,16:28:21,101.0014,11
icdg07qeq_flt.fits,7,11,F125W,2013-10-16,16:29:09,101.0014,11
icdg07qfq_flt.fits,7,11,F125W,2013-10-16,16:29:57,101.0014,11
icdg07qgq_flt.fits,7,12,F160W,2013-10-16,16:30:51,101.0014,12
icdg07qhq_flt.fits,7,12,F160W,2013-10-16,16:31:24,101.0014,12
icdg07qiq_flt.fits,7,12,F160W,2013-10-16,16:31:57,101.0014,12
icdg07qjq_flt.fits,7,12,F160W,2013-10-16,16:32:30,101.0014,12
icdg07qkq_flt.fits,7,12,F160W,2013-10-16,16:33:03,101.0014,12
icdg07qlq_flt.fits,7,13,F125W,2013-10-16,16:33:42,101.0014,13
icdg07qmq_flt.fits,7,13,F125W,2013-10-16,16:34:30,101.0014,13
icdg07qnq_flt.fits,7,13,F125W,2013-10-16,16:35:18,101.0014,13
icdg07qoq_flt.fits,7,13,F125W,2013-10-16,16:36:06,101.0014,13
icdg08qqq_flt.fits,8,13,F125W,2013-10-16,17:29:24,129.0002,1
icdg08qrq_flt.fits,8,13,F125W,2013-10-16,17:30:12,129.0002,1
icdg08qsq_flt.fits,8,13,F125W,2013-10-16,17:31:00,129.0002,1
icdg08qtq_flt.fits,8,13,F125W,2013-10-16,17:31:48,129.0002,1
icdg08quq_flt.fits,8,14,F160W,2013-10-16,17:32:42,129.0002,2
icdg08qvq_flt.fits,8,14,F160W,2013-10-16,17:33:15,129.0002,2
icdg08qwq_flt.fits,8,14,F160W,2013-10-16,17:33:48,129.0002,2
icdg08qxq_flt.fits,8,14,F160W,2013-10-16,17:34:21,129.0002,2
icdg08qyq_flt.fits,8,14,F160W,2013-10-16,17:34:54,129.0002,2
icdg08qzq_flt.fits,8,15,F125W,2013-10-16,17:36:09,129.0008,3
icdg08r0q_flt.fits,8,15,F125W,2013-10-16,17:36:57,129.0008,3
icdg08r1q_flt.fits,8,15,F125W,2013-10-16,17:37:45,129.0008,3
icdg08r2q_flt.fits,8,15,F125W,2013-10-16,17:38:33,129.0008,3
icdg08r3q_flt.fits,8,16,F160W,2013-10-16,17:39:27,129.0008,4
icdg08r4q_flt.fits,8,16,F160W,2013-10-16,17:40:00,129.0008,4
icdg08r5q_flt.fits,8,16,F160W,2013-10-16,17:40:33,129.0008,4
icdg08r6q_flt.fits,8,16,F160W,2013-10-16,17:41:06,129.0008,4
icdg08r7q_flt.fits,8,16,F160W,2013-10-16,17:41:39,129.0008,4
icdg08r8q_flt.fits,8,17,F125W,2013-10-16,17:42:55,129.0003,5
icdg08r9q_flt.fits,8,17,F125W,2013-10-16,17:43:43,129.0003,5
icdg08raq_flt.fits,8,17,F125W,2013-10-16,17:44:31,129.0003,5
icdg08rbq_flt.fits,8,17,F125W,2013-10-16,17:45:19,129.0003,5
icdg08rcq_flt.fits,8,18,F160W,2013-10-16,17:46:13,129.0003,6
icdg08rdq_flt.fits,8,18,F160W,2013-10-16,17:46:46,129.0003,6
icdg08req_flt.fits,8,18,F160W,2013-10-16,17:47:19,129.0003,6
icdg08rfq_flt.fits,8,18,F160W,2013-10-16,17:47:52,129.0003,6
icdg08rgq_flt.fits,8,18,F160W,2013-10-16,17:48:25,129.0003,6
icdg08rhq_flt.fits,8,19,F125W,2013-10-16,17:49:40,129.0009,7
icdg08riq_flt.fits,8,19,F125W,2013-10-16,17:50:28,129.0009,7
icdg08rjq_flt.fits,8,19,F125W,2013-10-16,17:51:16,129.0009,7
icdg08rkq_flt.fits,8,19,F125W,2013-10-16,17:52:04,129.0009,7
icdg08rlq_flt.fits,8,20,F160W,2013-10-16,17:52:58,129.0009,8
icdg08rmq_flt.fits,8,20,F160W,2013-10-16,17:53:31,129.0009,8
icdg08rnq_flt.fits,8,20,F160W,2013-10-16,17:54:04,129.0009,8
icdg08roq_flt.fits,8,20,F160W,2013-10-16,17:54:37,129.0009,8
icdg08rpq_flt.fits,8,20,F160W,2013-10-16,17:55:10,129.0009,8
icdg08rqq_flt.fits,8,21,F125W,2013-10-16,17:56:25,129.0003,9
icdg08rrq_flt.fits,8,21,F125W,2013-10-16,17:57:13,129.0003,9
icdg08rsq_flt.fits,8,21,F125W,2013-10-16,17:58:01,129.0003,9
icdg08rtq_flt.fits,8,21,F125W,2013-10-16,17:58:49,129.0003,9
icdg08ruq_flt.fits,8,22,F160W,2013-10-16,17:59:43,129.0003,10
icdg08rvq_flt.fits,8,22,F160W,2013-10-16,18:00:16,129.0003,10
icdg08rwq_flt.fits,8,22,F160W,2013-10-16,18:00:49,129.0003,10
icdg08rxq_flt.fits,8,22,F160W,2013-10-16,18:01:22,129.0003,10
icdg08ryq_flt.fits,8,22,F160W,2013-10-16,18:01:55,129.0003,10
icdg08rzq_flt.fits,8,23,F125W,2013-10-16,18:03:10,129.0009,11
icdg08s0q_flt.fits,8,23,F125W,2013-10-16,18:03:58,129.0009,11
icdg08s1q_flt.fits,8,23,F125W,2013-10-16,18:04:46,129.0009,11
icdg08s2q_flt.fits,8,23,F125W,2013-10-16,18:05:34,129.0009,11
icdg08s3q_flt.fits,8,24,F160W,2013-10-16,18:06:28,129.0009,12
icdg08s4q_flt.fits,8,24,F160W,2013-10-16,18:07:01,129.0009,12
icdg08s5q_flt.fits,8,24,F160W,2013-10-16,18:07:34,129.0009,12
icdg08s6q_flt.fits,8,24,F160W,2013-10-16,18:08:07,129.0009,12
icdg08s7q_flt.fits,8,24,F160W,2013-10-16,18:08:40,129.0009,12
icdg08s8q_flt.fits,8,25,F125W,2013-10-16,18:09:19,129.0009,13
icdg08s9q_flt.fits,8,25,F125W,2013-10-16,18:10:07,129.0009,13
icdg08saq_flt.fits,8,25,F125W,2013-10-16,18:10:55,129.0009,13
icdg08sbq_flt.fits,8,25,F125W,2013-10-16,18:11:43,129.0009,13
icdg09sdq_flt.fits,9,25,F125W,2013-10-16,19:05:02,101.0005,1
icdg09seq_flt.fits,9,25,F125W,2013-10-16,19:05:50,101.0005,1
icdg09sfq_flt.fits,9,25,F125W,2013-10-16,19:06:38,101.0005,1
icdg09sgq_flt.fits,9,25,F125W,2013-10-16,19:07:26,101.0005,1
icdg09shq_flt.fits,9,26,F160W,2013-10-16,19:08:20,101.0005,2
icdg09siq_flt.fits,9,26,F160W,2013-10-16,19:08:53,101.0005,2
icdg09sjq_flt.fits,9,26,F160W,2013-10-16,19:09:26,101.0005,2
icdg09skq_flt.fits,9,26,F160W,2013-10-16,19:09:59,101.0005,2
icdg09slq_flt.fits,9,26,F160W,2013-10-16,19:10:32,101.0005,2
icdg09smq_flt.fits,9,27,F125W,2013-10-16,19:11:47,101.001,3
icdg09snq_flt.fits,9,27,F125W,2013-10-16,19:12:35,101.001,3
icdg09soq_flt.fits,9,27,F125W,2013-10-16,19:13:23,101.001,3
icdg09spq_flt.fits,9,27,F125W,2013-10-16,19:14:11,101.001,3
icdg09sqq_flt.fits,9,28,F160W,2013-10-16,19:15:05,101.001,4
icdg09srq_flt.fits,9,28,F160W,2013-10-16,19:15:38,101.001,4
icdg09ssq_flt.fits,9,28,F160W,2013-10-16,19:16:11,101.001,4
icdg09stq_flt.fits,9,28,F160W,2013-10-16,19:16:44,101.001,4
icdg09suq_flt.fits,9,28,F160W,2013-10-16,19:17:17,101.001,4
icdg09svq_flt.fits,9,29,F125W,2013-10-16,19:18:33,101.0009,5
icdg09swq_flt.fits,9,29,F125W,2013-10-16,19:19:21,101.0009,5
icdg09sxq_flt.fits,9,29,F125W,2013-10-16,19:20:09,101.0009,5
icdg09syq_flt.fits,9,29,F125W,2013-10-16,19:20:57,101.0009,5
icdg09szq_flt.fits,9,30,F160W,2013-10-16,19:21:51,101.0009,6
icdg09t0q_flt.fits,9,30,F160W,2013-10-16,19:22:24,101.0009,6
icdg09t1q_flt.fits,9,30,F160W,2013-10-16,19:22:57,101.0009,6
icdg09t2q_flt.fits,9,30,F160W,2013-10-16,19:23:30,101.0009,6
icdg09t3q_flt.fits,9,30,F160W,2013-10-16,19:24:03,101.0009,6
icdg09t4q_flt.fits,9,31,F125W,2013-10-16,19:25:18,101.0014,7
icdg09t5q_flt.fits,9,31,F125W,2013-10-16,19:26:06,101.0014,7
icdg09t6q_flt.fits,9,31,F125W,2013-10-16,19:26:54,101.0014,7
icdg09t7q_flt.fits,9,31,F125W,2013-10-16,19:27:42,101.0014,7
icdg09t8q_flt.fits,9,32,F160W,2013-10-16,19:28:36,101.0014,8
icdg09t9q_flt.fits,9,32,F160W,2013-10-16,19:29:09,101.0014,8
icdg09taq_flt.fits,9,32,F160W,2013-10-16,19:29:42,101.0014,8
icdg09tbq_flt.fits,9,32,F160W,2013-10-16,19:30:15,101.0014,8
icdg09tcq_flt.fits,9,32,F160W,2013-10-16,19:30:48,101.0014,8
icdg09tdq_flt.fits,9,33,F125W,2013-10-16,19:32:04,101.0005,9
icdg09teq_flt.fits,9,33,F125W,2013-10-16,19:32:52,101.0005,9
icdg09tfq_flt.fits,9,33,F125W,2013-10-16,19:33:40,101.0005,9
icdg09tgq_flt.fits,9,33,F125W,2013-10-16,19:34:28,101.0005,9
icdg09thq_flt.fits,9,34,F160W,2013-10-16,19:35:22,101.0005,10
icdg09tiq_flt.fits,9,34,F160W,2013-10-16,19:35:55,101.0005,10
icdg09tjq_flt.fits,9,34,F160W,2013-10-16,19:36:28,101.0005,10
icdg09tkq_flt.fits,9,34,F160W,2013-10-16,19:37:01,101.0005,10
icdg09tlq_flt.fits,9,34,F160W,2013-10-16,19:37:34,101.0005,10
icdg09tmq_flt.fits,9,35,F125W,2013-10-16,19:38:49,101.001,11
icdg09tnq_flt.fits,9,35,F125W,2013-10-16,19:39:37,101.001,11
icdg09toq_flt.fits,9,35,F125W,2013-10-16,19:40:25,101.001,11
icdg09tpq_flt.fits,9,35,F125W,2013-10-16,19:41:13,101.001,11
icdg09tqq_flt.fits,9,36,F160W,2013-10-16,19:42:07,101.001,12
icdg09trq_flt.fits,9,36,F160W,2013-10-16,19:42:40,101.001,12
icdg09tsq_flt.fits,9,36,F160W,2013-10-16,19:43:13,101.001,12
icdg09ttq_flt.fits,9,36,F160W,2013-10-16,19:43:46,101.001,12
icdg09tuq_flt.fits,9,36,F160W,2013-10-16,19:44:19,101.001,12
icdg09tvq_flt.fits,9,37,F125W,2013-10-16,19:44:58,101.001,13
icdg09twq_flt.fits,9,37,F125W,2013-10-16,19:45:46,101.001,13
icdg09txq_flt.fits,9,37,F125W,2013-10-16,19:46:34,101.001,13
icdg09tyq_flt.fits,9,37,F125W,2013-10-16,19:47:22,101.001,13
icdg10u0q_flt.fits,10,37,F125W,2013-10-16,20:40:40,129.0002,1
